domain,dem_prop,rep_prop,bias_score
c-span.org,0.0025678503121438,0.0023691115894797,-0.1794
c-ville.com,0.0,3.0140421993443603e-05,
c4isrnet.com,0.0001338794638289,0.0,
ca.gov,2.594678024442208e-05,0.0,
cachevalleydaily.com,0.0,7.823486079162367e-06,
cagw.org,0.0,3.027996098415399e-05,
calaverasenterprise.com,0.0,0.0001712701571979,
calcoasttimes.com,3.227616601017981e-06,0.0,
califesciences.org,7.698901984079589e-07,0.0,
california45th.org,1.0363906517030217e-06,0.0,
californiaagtoday.com,1.243668782043626e-05,0.0,
californiademocrat.com,2.440699984760616e-05,3.87918394174876e-06,
californiaglobe.com,7.232526190813229e-06,0.00017784709496,
californiahealthline.org,7.405011206418089e-05,0.0,-0.2709
caller.com,7.482000226258884e-05,9.717495313071354e-05,0.2322
callnewspapers.com,0.0,8.490482454758017e-05,
calltothepen.com,3.2350193913872885e-06,0.0,
calvertforcongress.com,0.0,0.0004484597109444,
calvinayre.com,2.398504079655564e-06,0.0,
camaspostrecord.com,0.0,9.302599380692472e-09,
campuslately.com,2.454025007425369e-05,0.0,
cannabisbusinesstimes.com,2.220837110792189e-05,0.0,
cannabisdispensarymag.com,6.255357862064666e-06,0.0,
cannabissciencetech.com,4.1063278178547576e-05,0.0,
