"location","hits","keyword","geo","gprop"
"Wisconsin",NA,"Rick Crawford","US","web"
"West Virginia",NA,"Rick Crawford","US","web"
"Delaware",NA,"Rick Crawford","US","web"
"Arkansas",100,"French Hill","US","web"
"District of Columbia",18,"French Hill","US","web"
"Vermont",15,"French Hill","US","web"
"New Hampshire",5,"French Hill","US","web"
"Maine",5,"French Hill","US","web"
"Massachusetts",5,"French Hill","US","web"
"Rhode Island",5,"French Hill","US","web"
"New Jersey",5,"French Hill","US","web"
"Connecticut",4,"French Hill","US","web"
"Pennsylvania",4,"French Hill","US","web"
"North Carolina",4,"French Hill","US","web"
"Tennessee",3,"French Hill","US","web"
"South Carolina",3,"French Hill","US","web"
"Maryland",3,"French Hill","US","web"
"Virginia",3,"French Hill","US","web"
"Minnesota",3,"French Hill","US","web"
"New York",3,"French Hill","US","web"
"Louisiana",3,"French Hill","US","web"
"Idaho",3,"French Hill","US","web"
"Texas",3,"French Hill","US","web"
"Missouri",3,"French Hill","US","web"
"Utah",3,"French Hill","US","web"
"Alabama",3,"French Hill","US","web"
"Mississippi",3,"French Hill","US","web"
"Washington",2,"French Hill","US","web"
"Oregon",2,"French Hill","US","web"
"California",2,"French Hill","US","web"
"Kansas",2,"French Hill","US","web"
"Georgia",2,"French Hill","US","web"
"Colorado",2,"French Hill","US","web"
"Ohio",2,"French Hill","US","web"
"Illinois",2,"French Hill","US","web"
"Florida",2,"French Hill","US","web"
"Kentucky",2,"French Hill","US","web"
"Iowa",2,"French Hill","US","web"
"Oklahoma",2,"French Hill","US","web"
"Indiana",1,"French Hill","US","web"
"Michigan",1,"French Hill","US","web"
"Arizona",1,"French Hill","US","web"
"Alaska",NA,"French Hill","US","web"
"Nevada",NA,"French Hill","US","web"
"South Dakota",NA,"French Hill","US","web"
"New Mexico",NA,"French Hill","US","web"
"Nebraska",NA,"French Hill","US","web"
"North Dakota",NA,"French Hill","US","web"
"Montana",NA,"French Hill","US","web"
"Hawaii",NA,"French Hill","US","web"
"Delaware",NA,"French Hill","US","web"
"Wisconsin",NA,"French Hill","US","web"
"West Virginia",NA,"French Hill","US","web"
"Wyoming",NA,"French Hill","US","web"
"Arkansas",100,"Steve Womack","US","web"
"Texas",1,"Steve Womack","US","web"
"Alaska",NA,"Steve Womack","US","web"
"Wyoming",NA,"Steve Womack","US","web"
"California",NA,"Steve Womack","US","web"
"Colorado",NA,"Steve Womack","US","web"
"Connecticut",NA,"Steve Womack","US","web"
"District of Columbia",NA,"Steve Womack","US","web"
"Delaware",NA,"Steve Womack","US","web"
"Florida",NA,"Steve Womack","US","web"
"Georgia",NA,"Steve Womack","US","web"
"Hawaii",NA,"Steve Womack","US","web"
"Iowa",NA,"Steve Womack","US","web"
"Idaho",NA,"Steve Womack","US","web"
"Illinois",NA,"Steve Womack","US","web"
"Indiana",NA,"Steve Womack","US","web"
"Kansas",NA,"Steve Womack","US","web"
"Kentucky",NA,"Steve Womack","US","web"
"Louisiana",NA,"Steve Womack","US","web"
"Massachusetts",NA,"Steve Womack","US","web"
"Maryland",NA,"Steve Womack","US","web"
"Maine",NA,"Steve Womack","US","web"
"Michigan",NA,"Steve Womack","US","web"
"Minnesota",NA,"Steve Womack","US","web"
"Missouri",NA,"Steve Womack","US","web"
"Mississippi",NA,"Steve Womack","US","web"
"Montana",NA,"Steve Womack","US","web"
